file,tool,orig_bytes,comp_bytes,compress_s,decompress_s,verified
silesia/dickens,squish-single,10192446,2300272,14.69,15.08,yes
silesia/dickens,squish-mt,10192446,2300272,14.67,14.98,yes
silesia/mozilla,squish-single,51220480,14305318,69.61,72.03,yes
silesia/mozilla,squish-mt,51220480,14322935,28.41,28.34,yes
silesia/mr,squish-single,9970564,2200359,10.55,10.66,yes
silesia/mr,squish-mt,9970564,2200359,10.55,10.92,yes
silesia/nci,squish-single,33553445,1643448,24.13,24.89,yes
silesia/nci,squish-mt,33553445,1660311,14.31,14.39,yes
silesia/ooffice,squish-single,6152192,2412103,9.15,9.48,yes
silesia/ooffice,squish-mt,6152192,2412103,9.11,9.58,yes
silesia/osdb,squish-single,10085684,2401772,15.68,16.42,yes
silesia/osdb,squish-mt,10085684,2401772,15.72,16.09,yes
silesia/reymont,squish-single,6627202,1112376,7.46,7.79,yes
silesia/reymont,squish-mt,6627202,1112376,7.39,7.84,yes
silesia/samba,squish-single,21606400,3529273,24.89,25.32,yes
silesia/samba,squish-mt,21606400,3567049,20.81,21.82,yes
silesia/sao,squish-single,7251944,3968327,15.84,16.26,yes
silesia/sao,squish-mt,7251944,3968327,15.69,16.16,yes
silesia/webster,squish-single,41458703,6584906,52.08,52.34,yes
silesia/webster,squish-mt,41458703,6764137,22.68,24.01,yes
silesia/x-ray,squish-single,8474240,3732271,14.05,14.68,yes
silesia/x-ray,squish-mt,8474240,3732271,14.33,14.59,yes
silesia/xml,squish-single,5345280,385143,5.72,5.81,yes
silesia/xml,squish-mt,5345280,385143,5.59,5.79,yes
canterbury/alice29.txt,squish-single,152089,38687,0.27,0.32,yes
canterbury/alice29.txt,squish-mt,152089,38687,0.28,0.33,yes
canterbury/asyoulik.txt,squish-single,125179,35725,0.24,0.28,yes
canterbury/asyoulik.txt,squish-mt,125179,35725,0.25,0.29,yes
canterbury/cp.html,squish-single,24603,6787,0.11,0.15,yes
canterbury/cp.html,squish-mt,24603,6787,0.11,0.15,yes
canterbury/fields.c,squish-single,11150,2819,0.09,0.13,yes
canterbury/fields.c,squish-mt,11150,2819,0.09,0.13,yes
canterbury/grammar.lsp,squish-single,3721,1252,0.08,0.11,yes
canterbury/grammar.lsp,squish-mt,3721,1252,0.08,0.13,yes
canterbury/kennedy.xls,squish-single,1029744,25479,0.93,0.98,yes
canterbury/kennedy.xls,squish-mt,1029744,25479,0.92,0.98,yes
canterbury/lcet10.txt,squish-single,426754,94649,0.63,0.69,yes
canterbury/lcet10.txt,squish-mt,426754,94649,0.64,0.68,yes
canterbury/plrabn12.txt,squish-single,481861,130534,0.75,0.82,yes
canterbury/plrabn12.txt,squish-mt,481861,130534,0.77,0.79,yes
canterbury/ptt5,squish-single,513216,46231,0.35,0.39,yes
canterbury/ptt5,squish-mt,513216,46231,0.35,0.39,yes
canterbury/sum,squish-single,38240,11447,0.12,0.16,yes
canterbury/sum,squish-mt,38240,11447,0.13,0.16,yes
canterbury/xargs.1,squish-single,4227,1710,0.08,0.11,yes
canterbury/xargs.1,squish-mt,4227,1710,0.08,0.12,yes
enwik8,squish-single,100000000,22461575,134.52,144.15,yes
enwik8,squish-mt,100000000,23160873,33.34,37.06,yes
